Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Brazil,7.8,Terry Gilliam,"Terry Gilliam, Tom Stoppard, Charles McKeown",84.0,1985,"United Kingdom, United States",English,9949953.0,2 hours 12 minutes
Serenity,7.8,Joss Whedon,Joss Whedon,74.0,2020,United States,"English, Mandarin",40445129.0,1 hour 59 minutes
Walk the Line,7.8,James Mangold,"Johnny Cash, Gill Dennis, James Mangold",72.0,2005,"Germany, United States","English, Russian",186797986.0,2 hours 16 minutes
The Fighter,7.8,David O. Russell,"Scott Silver, Paul Tamasy, Eric Johnson",79.0,2010,United States,English,129190869.0,1 hour 56 minutes
Awakenings,7.8,Penny Marshall,"Oliver Sacks, Steven Zaillian",74.0,2019,United States,English,52096475.0,2 hours 1 minute
Breaking the Waves,7.8,Lars von Trier,"Lars von Trier, Peter Asmussen, David Pirie",82.0,1996,"Denmark, Sweden, France, Netherlands, Norway, Iceland, United Kingdom, Finland, Italy, United States, Belgium, Germany",English,3831182.0,2 hours 39 minutes
Mississippi Burning,7.8,Alan Parker,Chris Gerolmo,65.0,1989,United States,English,34603943.0,2 hours 8 minutes
Män som hatar kvinnor,7.8,Niels Arden Oplev,"Nikolaj Arcel, Rasmus Heisterberg, Stieg Larsson",76.0,2009,"Sweden, Denmark, Germany, Norway, Spain","Swedish, English",104414200.0,2 hours 32 minutes
Close,7.8,Lukas Dhont,"Lukas Dhont, Angelo Tijssens",81.0,2022,"Belgium, Netherlands, France","French, Flemish, Dutch, English",5216044.0,1 hour 44 minutes
Hunt for the Wilderpeople,7.8,Taika Waititi,"Taika Waititi, Barry Crump, Tearepa Kahi",81.0,2016,New Zealand,English,38560308.0,1 hour 41 minutes
Aavesham,7.8,Jithu Madhavan,Jithu Madhavan,78.0,2024,India,Malayalam,3694257.0,2 hours 35 minutes
Gaslight,7.8,George Cukor,"John Van Druten, Walter Reisch, John L. Balderston",78.0,1944,United States,"English, Italian",2391.0,1 hour 54 minutes
Lilja 4-ever,7.8,Lukas Moodysson,Lukas Moodysson,83.0,2002,"Sweden, Denmark","Russian, Swedish, English, Polish",1007747.0,1 hour 49 minutes
The King of Comedy,7.8,Martin Scorsese,Paul D. Zimmerman,73.0,1982,United States,English,2537298.0,1 hour 49 minutes
Cabaret,7.8,Bob Fosse,"Joe Masteroff, John Van Druten, Christopher Isherwood",80.0,1972,United States,"English, German, Hebrew, French",77612.0,2 hours 4 minutes
All That Jazz,7.8,Bob Fosse,"Robert Alan Aurthur, Bob Fosse",72.0,1979,United States,"English, Spanish",37824824.0,2 hours 3 minutes
The Searchers,7.8,John Ford,"Frank S. Nugent, Alan Le May, Charles Dorat",94.0,1956,United States,"English, Navajo, Spanish",1071.0,1 hour 59 minutes
Thirteen Lives,7.8,Ron Howard,"William Nicholson, Don MacPherson",66.0,2022,"United Kingdom, Canada, United States","English, Thai, Mandarin",3253561.5,2 hours 27 minutes
Charade,7.8,Stanley Donen,"Peter Stone, Marc Behm, Jeanne Saintenoy",83.0,1963,United States,"English, French, German, Italian, Spanish",175119.0,1 hour 53 minutes
Majo No Takkyûbin,7.8,Hayao Miyazaki,"Eiko Kadono, Hayao Miyazaki",85.0,1989,Japan,"Japanese, English",10403278.0,1 hour 43 minutes
Isle of Dogs,7.8,Wes Anderson,"Wes Anderson, Roman Coppola, Jason Schwartzman",82.0,2018,"United Kingdom, Germany, Japan, United States","English, Japanese",64659098.0,1 hour 41 minutes
Trois Couleurs: Bleu,7.8,Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland",87.0,1993,"France, Poland, Switzerland","French, Romanian, Polish",1518216.0,1 hour 34 minutes
Night of the Living Dead,7.8,George A. Romero,"John A. Russo, George A. Romero",89.0,1969,United States,English,237994.0,1 hour 36 minutes
Dawn of the Dead,7.8,George A. Romero,George A. Romero,71.0,1979,"United States, Italy","English, Spanish",159822.0,2 hours 7 minutes
Kramer vs. Kramer,7.8,Robert Benton,"Avery Corman, Robert Benton, Meryl Streep",77.0,2020,United States,English,106260000.0,1 hour 45 minutes
The World's Fastest Indian,7.8,Roger Donaldson,Roger Donaldson,68.0,2005,"New Zealand, Japan, United States",English,18302013.0,2 hours 7 minutes
The Killing Fields,7.8,Roland Joffé,Bruce Robinson,76.0,1985,United Kingdom,"English, French, Central Khmer, Russian",34700291.0,2 hours 21 minutes
The Remains of the Day,7.8,James Ivory,"Kazuo Ishiguro, Ruth Prawer Jhabvala",86.0,1993,United States,"English, French, German",23240144.0,2 hours 14 minutes
Bramayugam,7.8,Rahul Sadasivan,"Rahul Sadasivan, T.D. Ramakrishnan",78.0,2024,India,Malayalam,1388375.0,2 hours 19 minutes
The Outlaw: Josey Wales,7.8,Clint Eastwood,"Forrest Carter, Philip Kaufman, Sonia Chernus",69.0,1976,United States,"English, Navajo, Spanish",31800000.0,2 hours 15 minutes
La Migliore Offerta,7.8,Giuseppe Tornatore,Giuseppe Tornatore,49.0,2013,Italy,"English, Italian",20919703.0,2 hours 11 minutes
Birdman of Alcatraz,7.8,John Frankenheimer,"Guy Trosper, Thomas E. Gaddis",76.0,1962,United States,English,27189.0,2 hours 27 minutes
October Sky,7.8,Joe Johnston,"Homer H. Hickam Jr., Lewis Colick",71.0,1999,United States,English,34698753.0,1 hour 48 minutes
Ed Wood,7.8,Tim Burton,"Rudolph Grey, Scott Alexander, Larry Karaszewski",71.0,1994,United States,English,5888045.0,2 hours 7 minutes
Kaze Tachinu,7.8,Hayao Miyazaki,Hayao Miyazaki,83.0,2013,Japan,"Japanese, German, Italian, French",136865366.0,2 hours 6 minutes
The Artist,7.8,Michel Hazanavicius,Michel Hazanavicius,89.0,2012,"France, Belgium, United States","English, French",133471171.0,1 hour 40 minutes
Frankenstein,7.8,James Whale,"John L. Balderston, Mary Shelley, Peggy Webling",91.0,1931,United States,"English, Latin",1626.0,1 hour 10 minutes
Un prophète,7.8,Jacques Audiard,"Thomas Bidegain, Jacques Audiard, Abdel Raouf Dafri",90.0,2009,"France, Italy","French, Arabic, Corsican",17874044.0,2 hours 35 minutes
The Right Stuff,7.8,Philip Kaufman,"Philip Kaufman, Tom Wolfe",91.0,1984,United States,"English, Russian, Spanish",21192315.0,3 hours 13 minutes
Freaks,7.8,Tod Browning,"Clarence Aaron 'Tod' Robbins, Willis Goldbeck, Leon Gordon",80.0,1932,United States,"English, German, French",4072.0,1 hour 4 minutes
Letters from Iwo Jima,7.8,Clint Eastwood,"Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi",89.0,2007,United States,"Japanese, English",68673228.0,2 hours 21 minutes
Jujutsu Kaisen 0: The Movie,7.8,Sunghoo Park,"Gege Akutami, Hiroshi Seko",71.0,2022,Japan,Japanese,166760828.0,1 hour 45 minutes
Chugyeogja,7.8,Na Hong-jin,"Won-Chan Hong, Na Hong-jin, Shinho Lee",64.0,2008,South Korea,Korean,36496231.0,2 hours 5 minutes
My Left Foot: The Story of Christy Brown,7.8,Jim Sheridan,"Shane Connaughton, Jim Sheridan, Christy Brown",97.0,1989,"Ireland, United Kingdom",English,14743391.0,1 hour 43 minutes
Hanu Man,7.8,Prasanth Varma,Prasanth Varma,78.0,2024,India,Telugu,775578.0,2 hours 38 minutes
Loving Vincent,7.8,"DK Welchman, Hugh Welchman","DK Welchman, Hugh Welchman, Jacek Dehnel",62.0,2017,"Poland, United Kingdom, United States, Switzerland, Netherlands",English,42187665.0,1 hour 34 minutes
Stagecoach,7.8,John Ford,"Ernest Haycox, Dudley Nichols, Ben Hecht",93.0,1939,United States,"English, Spanish, French",25741.0,1 hour 36 minutes
You Can't Take It with You,7.8,Frank Capra,"Robert Riskin, George S. Kaufman, Moss Hart",78.0,1938,United States,"English, Russian",11665.0,2 hours 6 minutes
Manhattan,7.8,Woody Allen,"Woody Allen, Marshall Brickman",83.0,1981,United States,English,40194067.0,1 hour 36 minutes
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,"Daisuke Nishio, Hirotoshi Rissen, Kazuhisa Takenouchi","Thomas Bangalter, Guy-Manuel De Homem-Christo, Cédric Hervet",78.0,2003,"Japan, France, Philippines",English,46408.0,1 hour 8 minutes
Mimi wo sumaseba,7.8,Yoshifumi Kondô,"Aoi Hiiragi, Hayao Miyazaki",75.0,2020,Japan,Japanese,4420615.0,1 hour 51 minutes
Hannah and Her Sisters,7.8,Woody Allen,Woody Allen,90.0,1986,United States,English,40084041.0,1 hour 47 minutes
Ninotchka,7.8,Ernst Lubitsch,"Charles Brackett, Billy Wilder, Walter Reisch",78.0,1939,United States,"English, Russian, French",2477.0,1 hour 50 minutes
Grizzly Man,7.8,Werner Herzog,Werner Herzog,87.0,2005,United States,English,4064694.0,1 hour 43 minutes
East of Eden,7.8,Elia Kazan,"John Steinbeck, Paul Osborn",72.0,1955,United States,English,28344.0,1 hour 58 minutes
The Bride of Frankenstein,7.8,James Whale,"Mary Shelley, William Hurlbut, John L. Balderston",95.0,1935,United States,English,11533.0,1 hour 15 minutes
Batman: Mask of the Phantasm,7.8,"Kevin Altieri, Boyd Kirkland, Frank Paur","Alan Burnett, Paul Dini, Martin Pasko",65.0,1993,United States,"English, Spanish, Italian",5863139.0,1 hour 16 minutes
Todo Sobre Mi Madre,7.8,Pedro Almodóvar,Pedro Almodóvar,87.0,1999,"Spain, France","Spanish, Catalan",67957990.0,1 hour 41 minutes
The Philadelphia Story,7.8,George Cukor,"Donald Ogden Stewart, Philip Barry, Waldo Salt",96.0,1941,United States,"English, French",413654.0,1 hour 52 minutes
Pride,7.8,Matthew Warchus,Stephen Beresford,79.0,2014,"United Kingdom, France, United States","English, Welsh",19014619.0,1 hour 59 minutes
Das weiße Band - Eine deutsche Kindergeschichte,7.8,Michael Haneke,Michael Haneke,84.0,2009,"Germany, Austria, France, Italy, Canada","German, Italian, Polish, Latin",19353588.0,2 hours 24 minutes
Tokyo Godfathers,7.8,"Shôgo Furuya, Satoshi Kon","Satoshi Kon, Keiko Nobumoto",75.0,2003,Japan,"Japanese, Spanish, English",459203.0,1 hour 32 minutes
Once,7.8,John Carney,John Carney,90.0,2007,"Ireland, United States","English, Czech",20939022.0,1 hour 26 minutes
Veer Zara,7.8,Yash Chopra,Aditya Chopra,67.0,2004,India,Hindi,6698673.0,3 hours 12 minutes
To Have and Have Not,7.8,Howard Hawks,"Ernest Hemingway, Jules Furthman, William Faulkner",90.0,1945,United States,"English, French",12459.0,1 hour 40 minutes
The Chorus,7.8,Christophe Barratier,"Georges Chaperot, René Wheeler, Noël-Noël",56.0,2004,"France, Switzerland, Germany",French,88385944.0,1 hour 37 minutes
"Aguirre, the Wrath of God",7.8,Werner Herzog,Werner Herzog,78.0,1972,"West Germany, Mexico","German, Quechua, Spanish",37732.0,1 hour 35 minutes
Shadow of a Doubt,7.8,Alfred Hitchcock,"Thornton Wilder, Sally Benson, Alma Reville",94.0,1943,United States,English,875.0,1 hour 48 minutes
Article 370,7.8,Aditya Suhas Jambhale,"Aditya Dhar, Monal Thaakar, Aditya Suhas Jambhale",78.0,2024,India,Hindi,13222021.0,2 hours 38 minutes
"They Shoot Horses, Don't They?",7.8,Sydney Pollack,"Horace McCoy, James Poe, Robert E. Thompson",72.0,1970,United States,English,56650.5,2 hours 9 minutes
Les parapluies de Cherbourg,7.8,Jacques Demy,Jacques Demy,86.0,1964,"France, West Germany","French, English",104081.0,1 hour 31 minutes
Jûbê Ninpûchô,7.8,Yoshiaki Kawajiri,Yoshiaki Kawajiri,78.0,1993,Japan,Japanese,1073.0,1 hour 34 minutes
Premalu,7.8,Girish A.D.,"Girish A.D., Kiran Josey",78.0,2024,India,"Malayalam, Hindi, Tamil",2342985.0,2 hours 36 minutes
Guess Who's Coming to Dinner,7.8,Stanley Kramer,"William Rose, Max Morise",63.0,1967,United States,English,56666797.0,1 hour 48 minutes
"I, Daniel Blake",7.8,Ken Loach,Paul Laverty,78.0,2017,"United Kingdom, France, Belgium",English,15697699.0,1 hour 40 minutes
Playtime,7.8,Jacques Tati,"Jacques Tati, Jacques Lagrange, Art Buchwald",99.0,1967,"France, Italy","French, English, German",66492.0,2 hours 35 minutes
The Servant,7.8,Joseph Losey,"Harold Pinter, Robin Maugham",94.0,1964,United Kingdom,English,75720.0,1 hour 56 minutes
His Girl Friday,7.8,Howard Hawks,"Charles Lederer, Ben Hecht, Charles MacArthur",78.0,1940,United States,"English, French",31111.0,1 hour 32 minutes
Baby You Have This,7.8,Howard Hawks,"Dudley Nichols, Hagar Wilde",91.0,1938,United States,English,11665.0,1 hour 42 minutes
The Lunchbox,7.8,Ritesh Batra,"Ritesh Batra, Vasan Bala",76.0,2013,"India, France, Germany, United States, Canada",Hindi,11621785.0,1 hour 44 minutes
Soshite chichi ni naru,7.8,Hirokazu Koreeda,Hirokazu Koreeda,73.0,2013,Japan,Japanese,37170163.0,2 hours 1 minute
The Asphalt Jungle,7.8,John Huston,"Ben Maddow, John Huston, W.R. Burnett",85.0,1950,United States,"English, German",29868.0,1 hour 52 minutes
Babettes gæstebud,7.8,Gabriel Axel,"Karen Blixen, Gabriel Axel",78.0,1987,Denmark,"Danish, French, Swedish, Italian, English",4637920.0,1 hour 43 minutes
Under Sandet,7.8,Martin Zandvliet,Martin Zandvliet,75.0,2015,"Denmark, Germany","German, Danish, English",3169553.0,1 hour 40 minutes
Amy,7.8,Asif Kapadia,"Amy Winehouse, Mitch Winehouse, Mark Ronson",85.0,2015,United Kingdom,English,23706386.0,2 hours 8 minutes
Johnny Got His Gun,7.8,Dalton Trumbo,"Dalton Trumbo, Luis Buñuel",71.0,1971,United States,English,2735.0,1 hour 51 minutes
Cowboy Bebop: The Movie,7.8,"Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura","Shin'ichirô Watanabe, Keiko Nobumoto",62.0,2001,"Japan, United States","Japanese, English",3016085.0,1 hour 55 minutes
The Train,7.8,John Frankenheimer,"Franklin Coen, Frank Davis, Rose Valland",80.0,1964,"France, Italy, United States","English, German",119906.5,2 hours 13 minutes
American Movie,7.8,Chris Smith,"Mark Borchardt, Mike Schank, Tom Schimmels",84.0,2000,United States,English,1166245.0,1 hour 47 minutes
Amarcord,7.8,Federico Fellini,"Federico Fellini, Tonino Guerra",78.0,1973,"Italy, France","Italian, Greek, Ancient (to 1453)",197754.0,2 hours 3 minutes
Oliver Twist,7.8,David Lean,"Charles Dickens, David Lean, Stanley Haynes",84.0,1948,United Kingdom,English,30711.5,1 hour 56 minutes
The Ghost and Mrs. Muir,7.8,Joseph L. Mankiewicz,"Philip Dunne, R.A. Dick, Jacques Monteux",78.0,1947,United States,English,29545.0,1 hour 44 minutes
Chamkila,7.8,Imtiaz Ali,"Imtiaz Ali, Sajid Ali",78.0,2024,India,"Punjabi, Hindi",6600000.0,2 hours 25 minutes
Brother,7.8,Aleksey Balabanov,Aleksey Balabanov,78.0,1997,Russia,"Russian, English, French",1362281.0,1 hour 36 minutes
Radical,7.8,Christopher Zalla,"Christopher Zalla, Joshua Davis, Laura Guadalupe A",70.0,2023,"United States, Mexico",Spanish,21829560.0,2 hours 5 minutes
Imitation of Life,7.8,Douglas Sirk,"Eleanore Griffin, Allan Scott, Fannie Hurst",87.0,1959,United States,English,365.0,2 hours 5 minutes
Le charme discret de la bourgeoisie,7.8,Luis Buñuel,"Luis Buñuel, Jean-Claude Carrière",93.0,1972,"France, Italy, Spain","French, Spanish, Latin",103230.0,1 hour 42 minutes
The Postman,7.8,"Michael Radford, Massimo Troisi","Antonio Skármeta, Furio Scarpelli, Giacomo Scarpelli",81.0,1994,"Italy, France, Belgium","Italian, Spanish",21898920.0,1 hour 48 minutes
Great Expectations,7.8,David Lean,"Charles Dickens, David Lean, Ronald Neame",90.0,1946,United Kingdom,English,19522.0,1 hour 58 minutes
The Hunchback of Notre Dame,7.8,William Dieterle,"Sonya Levien, Bruno Frank, Victor Hugo",78.0,1939,United States,English,25741.0,1 hour 56 minutes
Hud,7.8,Martin Ritt,"Irving Ravetch, Harriet Frank Jr., Larry McMurtry",62.0,1963,United States,English,41161.5,1 hour 52 minutes
Vivre Sa Vie,7.8,Jean-Luc Godard,"Marcel Sacotte, Jean-Luc Godard",78.0,1962,France,French,65646.0,1 hour 20 minutes
I Am: Celine Dion,7.8,Irene Taylor,"Céline Dion, Nelson Angélil, Eddy Angélil",76.0,2024,"Canada, United States","English, French",292987.0,1 hour 43 minutes
Brothers,7.8,Woody Allen,Woody Allen,77.0,1989,United States,"English, Hebrew",18254702.0,1 hour 44 minutes
Bir Zamanlar Anadolu'da,7.8,Nuri Bilge Ceylan,"Ebru Ceylan, Nuri Bilge Ceylan, Ercan Kesal",82.0,2011,"Turkey, Bosnia and Herzegovina",Turkish,2099472.0,2 hours 37 minutes
Cléo de 5 à 7,7.8,Agnès Varda,Agnès Varda,87.0,1962,"France, Italy",French,1886.0,1 hour 30 minutes
Gangubai Kathiawadi,7.8,Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Abhiruchi Chand, Saurabh H. Dikshit",78.0,2022,India,Hindi,3271210.0,2 hours 32 minutes
My Name Is Zucchini,7.8,Claude Barras,"Céline Sciamma, Claude Barras, Morgan Navarro",85.0,2016,"Switzerland, France, United Kingdom",French,5873157.0,1 hour 6 minutes
Parking,7.8,Ramkumar Balakrishnan,Ramkumar Balakrishnan,78.0,2023,India,Tamil,2257.0,2 hours 7 minutes
The Court Jester,7.8,"Melvin Frank, Norman Panama","Norman Panama, Melvin Frank",78.0,1956,United States,English,9859.0,1 hour 41 minutes
Sennen joyû,7.8,"Satoshi Kon, Kô Matsuo","Satoshi Kon, Sadayuki Murai",70.0,2002,Japan,"Japanese, English",264847.0,1 hour 27 minutes
Rockstar,7.8,Imtiaz Ali,"Imtiaz Ali, Muazzam Beg",78.0,2011,India,Hindi,11219667.0,2 hours 39 minutes
Hiroshima mon amour,7.8,Alain Resnais,Marguerite Duras,78.0,1959,"France, Japan","French, Japanese, English",139947.0,1 hour 30 minutes
Yin shi nan nu,7.8,Ang Lee,"Ang Lee, James Schamus, Hui-Ling Wang",80.0,1994,"Taiwan, United States","Mandarin, French",7294403.0,2 hours 4 minutes
Just 6.5,7.8,Saeed Roustayi,Saeed Roustayi,78.0,2019,Iran,Persian,1352153.0,2 hours 11 minutes
Becket,7.8,Peter Glenville,"Jean Anouilh, Lucienne Hill, Edward Anhalt",68.0,1964,"United Kingdom, United States","English, Latin, Welsh",149327.0,2 hours 28 minutes
Take Care of Maya,7.8,Henry Roosevelt,Maya Kowalski,64.0,2023,United States,English,4609670.5,1 hour 43 minutes
Berserk: Ougon jidai-hen III - Kourin,7.8,Toshiyuki Kubooka,"Kentaro Miura, Ichirô Ôkouchi",78.0,2013,Japan,"Japanese, English",399445.0,1 hour 50 minutes
Systemsprenger,7.8,Nora Fingscheidt,Nora Fingscheidt,89.0,2019,Germany,"German, English",546444.0,2 hours 5 minutes
A Night at the Opera,7.8,"Sam Wood, Edmund Goulding","George S. Kaufman, Morrie Ryskind, James Kevin McGuinness",78.0,1935,United States,"English, Italian",5320.0,1 hour 36 minutes
Knockin' on Heaven's Door,7.8,Thomas Jahn,"Thomas Jahn, Til Schweiger",78.0,1997,Germany,"German, English",214139.0,1 hour 27 minutes
The Loudest Whisper,7.8,William Wyler,"Lillian Hellman, John Michael Hayes",49.0,1961,United States,"English, French",40703.0,1 hour 48 minutes
The Hill,7.8,Sidney Lumet,"Ray Rigby, R.S. Allen",81.0,1965,"United Kingdom, United States",English,90869.0,2 hours 3 minutes
Stutz,7.8,Jonah Hill,"Sharon Feldstein, Jonah Hill, Phil Stutz",76.0,2022,United States,English,3253561.5,1 hour 36 minutes
El abrazo de la serpiente,7.8,Ciro Guerra,"Cristina Gallego, Ciro Guerra, Theodor Koch-Grünberg",82.0,2015,"Colombia, Mexico, Venezuela, Argentina","English, Spanish, Portuguese, Aboriginal, German, Catalan, Latin",3217212.0,2 hours 5 minutes
Days of Wine and Roses,7.8,Blake Edwards,J.P. Miller,74.0,1963,United States,English,2031.0,1 hour 57 minutes
Cet obscur objet du désir,7.8,Luis Buñuel,"Luis Buñuel, Jean-Claude Carrière, Pierre Louÿs",84.0,1977,"France, Spain","French, Spanish",2864.0,1 hour 43 minutes
Ernest et Célestine,7.8,"Stéphane Aubier, Vincent Patar, Benjamin Renner","Daniel Pennac, Gabrielle Vincent",86.0,2012,"France, Belgium, Luxembourg, United States","French, English",8170333.0,1 hour 20 minutes
El espíritu de la colmena,7.8,Víctor Erice,"Ángel Fernández Santos, Víctor Erice",87.0,1975,Spain,Spanish,149034.0,1 hour 38 minutes
Tini zabutykh predkiv,7.8,Sergei Parajanov,"Ivan Chendej, Mikhail Kotsiubinsky, Sergei Parajanov",78.0,1965,Soviet Union,Ukrainian,90869.0,1 hour 37 minutes
The Bad and the Beautiful,7.8,Vincente Minnelli,"Charles Schnee, George Bradshaw",86.0,1953,United States,English,2025.0,1 hour 58 minutes
Who's There?,7.8,Ram Gopal Varma,Anurag Kashyap,78.0,1999,India,Hindi,6031521.0,1 hour 30 minutes
Breaker Morant,7.8,Bruce Beresford,"Jonathan Hardy, David Stevens, Bruce Beresford",72.0,1980,Australia,"English, Afrikaans",948.0,1 hour 47 minutes
The Second Mother,7.8,Anna Muylaert,Anna Muylaert,82.0,2015,Brazil,Portuguese,3003560.0,1 hour 52 minutes
C.R.A.Z.Y.,7.8,Jean-Marc Vallée,"Jean-Marc Vallée, François Boulay",81.0,2006,"Canada, Morocco, France","French, English",3710169.0,2 hours 9 minutes
Gimme Shelter,7.8,"Albert Maysles, David Maysles, Charlotte Zwerin","Mick Jagger, Keith Richards, Mick Taylor",85.0,1971,United States,English,999.0,1 hour 31 minutes
The Game Changers,7.8,Louie Psihoyos,"Mark Monroe, Joseph Pace, Shannon Kornelsen",78.0,2019,United States,English,897992.0,1 hour 26 minutes
Da xiang xidi erzuo,7.8,Bo Hu,Bo Hu,86.0,2018,China,Mandarin,39599.0,3 hours 50 minutes
Jiro Dreams of Sushi,7.8,David Gelb,"Jiro Ono, Yoshikazu Ono, Masuhiro Yamamoto",77.0,2012,United States,Japanese,2692864.0,1 hour 21 minutes
Mr. Deeds Goes to Town,7.8,Frank Capra,"Robert Riskin, Clarence Budington Kelland",78.0,1936,United States,English,8362.0,1 hour 55 minutes
