Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Vampire Hunter D: Bloodlust,7.6,Yoshiaki Kawajiri,"Hideyuki Kikuchi, Yoshiaki Kawajiri",62.0,2000,"Japan, Hong Kong, United States","Japanese, English",152239.0,1 hour 43 minutes
The Little Prince,7.6,Mark Osborne,"Irena Brignull, Bob Persichetti, Antoine de Saint-Exupéry",70.0,2015,"France, Canada, Italy, United States, China",English,97571250.0,1 hour 48 minutes
Weekend,7.6,Andrew Haigh,Andrew Haigh,81.0,2011,United Kingdom,English,1192003.0,1 hour 37 minutes
25th Hour,7.6,Spike Lee,David Benioff,69.0,2003,United States,English,23936003.0,2 hours 15 minutes
Leave Her to Heaven,7.6,John M. Stahl,"Jo Swerling, Ben Ames Williams",76.0,1946,United States,English,617.0,1 hour 50 minutes
United 93,7.6,Paul Greengrass,Paul Greengrass,90.0,2006,"United States, United Kingdom, France","English, Arabic, German",76700659.0,1 hour 51 minutes
The Wave,7.6,Dennis Gansel,"Ron Jones, Johnny Dawkins, Ron Birnbach",76.0,2008,"Germany, France",German,32350637.0,1 hour 47 minutes
The Social Dilemma,7.6,Jeff Orlowski-Yang,"Vickie Curtis, Davis Coombe, Jeff Orlowski-Yang",78.0,2020,United States,English,25211175.0,1 hour 34 minutes
Vera Drake,7.6,Mike Leigh,Mike Leigh,83.0,2005,"United Kingdom, France, United States",English,13267869.0,2 hours 5 minutes
Häxan: Witchcraft Through the Ages,7.6,Benjamin Christensen,Benjamin Christensen,76.0,1922,"Sweden, Denmark","Swedish, Danish",28875.5,1 hour 31 minutes
Frost/Nixon,7.6,Ron Howard,Peter Morgan,80.0,2009,"United Kingdom, France, United States",English,27426335.0,2 hours 2 minutes
The Prime of Miss Jean Brodie,7.6,Ronald Neame,"Muriel Spark, Jay Presson Allen",76.0,1969,United Kingdom,"English, Latin, French, Italian",82.0,1 hour 56 minutes
Kamera Wo Tomeruna!,7.6,Shin'ichirô Ueda,"Shin'ichirô Ueda, Ryoichi Wada",86.0,2018,Japan,Japanese,27590180.0,1 hour 36 minutes
Only Angels Have Wings,7.6,Howard Hawks,"Jules Furthman, Howard Hawks, Eleanore Griffin",86.0,1939,United States,"English, Spanish",8554.0,2 hours 1 minute
Winchester '73,7.6,Anthony Mann,"Robert L. Richards, Borden Chase, Stuart N. Lake",83.0,1950,United States,English,43024.0,1 hour 32 minutes
Nran Guyne,7.6,Sergei Parajanov,"Sayat Nova, Sergei Parajanov",76.0,1982,Soviet Union,"Armenian, Azerbaijani, Georgian",20630135.0,1 hour 19 minutes
Control,7.6,Anton Corbijn,"Deborah Curtis, Matt Greenhalgh",78.0,2007,"United Kingdom, France, Australia, Japan, United States",English,8159508.0,2 hours 2 minutes
Mustang,7.6,Deniz Gamze Ergüven,"Deniz Gamze Ergüven, Alice Winocour",83.0,2015,"France, Germany, Turkey, Qatar",Turkish,5274664.0,1 hour 37 minutes
Three Colors: White,7.6,Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland",91.0,1994,"Switzerland, France, Poland","Polish, French, English",1266582.0,1 hour 32 minutes
Shine,7.6,Scott Hicks,"Jan Sardi, Scott Hicks",87.0,1996,Australia,"English, Yiddish",35999121.0,1 hour 45 minutes
McCabe & Mrs. Miller,7.6,Robert Altman,"Edmund Naughton, Robert Altman, Brian McKay",93.0,1971,United States,"English, Cantonese",31558.0,2 hours
The Taming of the Scoundrel,7.6,"Franco Castellano, Giuseppe Moccia","Franco Castellano, Giuseppe Moccia, William Shakespeare",76.0,1980,Italy,Italian,9709597.0,1 hour 47 minutes
The Odd Couple,7.6,Gene Saks,Neil Simon,86.0,1968,United States,English,44527234.0,1 hour 45 minutes
3:10 to Yuma,7.6,Delmer Daves,"Halsted Welles, Elmore Leonard",80.0,1957,United States,English,32549.0,1 hour 32 minutes
"To Sir, with Love",7.6,James Clavell,"E.R. Braithwaite, James Clavell",55.0,1967,United Kingdom,English,642.0,1 hour 45 minutes
When Marnie Was There,7.6,Hiromasa Yonebayashi,"Joan G. Robinson, Keiko Niwa, Masashi Andô",72.0,2024,Japan,Japanese,35012681.0,1 hour 43 minutes
The Narrow Margin,7.6,"Richard Fleischer, William Cameron Menzies","Earl Felton, Martin Goldsmith, Jack Leonard",76.0,1952,United States,English,22324.0,1 hour 11 minutes
少年的你,7.6,Derek Tsang,"Wing-Sum Lam, Yuan Li, Yimeng Xu",83.0,2019,"China, Hong Kong, United Kingdom","Mandarin, English",227313644.0,2 hours 15 minutes
Leviafan,7.6,Andrey Zvyagintsev,"Oleg Negin, Andrey Zvyagintsev",92.0,2015,Russia,Russian,4439481.0,2 hours 20 minutes
Boy A,7.6,John Crowley,"Mark O'Rowe, Jonathan Trigell",75.0,2008,United Kingdom,English,1202375.0,1 hour 46 minutes
The Swimmer,7.6,"Frank Perry, Sydney Pollack","Eleanor Perry, John Cheever",76.0,1968,United States,English,18762.0,1 hour 35 minutes
Empty Running,7.6,Sidney Lumet,Naomi Foner,67.0,1988,United States,English,2847941.0,1 hour 56 minutes
Victor/Victoria,7.6,Blake Edwards,"Blake Edwards, Hans Hoemburg, Reinhold Schünzel",84.0,1982,"United Kingdom, United States","English, French",28229440.0,2 hours 14 minutes
The 39 Steps,7.6,Alfred Hitchcock,"John Buchan, Charles Bennett, Ian Hay",93.0,1935,United Kingdom,English,52623.0,1 hour 26 minutes
Three Identical Strangers,7.6,Tim Wardle,"Grace Hughes-Hallett, Tim Wardle",81.0,2018,"United Kingdom, United States",English,13448497.0,1 hour 36 minutes
Conte d'été,7.6,Éric Rohmer,Éric Rohmer,91.0,1996,France,French,198706.0,1 hour 53 minutes
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,7.6,Haruo Sotozaki,Koyoharu Gotouge,76.0,2023,Japan,Japanese,56319794.0,1 hour 50 minutes
"Argentina, 1985",7.6,Santiago Mitre,"Santiago Mitre, Mariano Llinás, Martín Mauregui",78.0,2022,"Argentina, United Kingdom, United States","Spanish, English",905893.0,2 hours 20 minutes
October,7.6,Shoojit Sircar,"Juhi Chaturvedi, Juhi Chaturvedi, Wajid Shaikh",76.0,2018,India,Hindi,310320.0,1 hour 55 minutes
